Animal,Date,Sex,BW,Genotype,pain,trial,data
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,4,1.51
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,4,1.34
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,4,1.14
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,4,1.00
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,4,0.67
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,4,-3.36
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,4,-15.28
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,4,-40.41
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,4,-58.61
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,4,-55.67
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,4,-53.04
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,4,-62.43
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,4,-23.76
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,4,-1.16
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,4,-0.21
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,4,-0.16
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,4,-0.19
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,4,-0.25 gram
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,5,2.18
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,5,1.81
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,5,1.48
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,5,1.20
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,5,0.97
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,5,0.75
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,5,0.01
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,5,-4.29
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,5,-18.59
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,5,-44.03
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,5,-51.79
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,5,-47.30
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,5,-35.11
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,5,-28.68
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,5,-13.63
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,5,3.19
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,5,3.64
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,5,3.07
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,6,1.78
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,6,1.57
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,6,1.38
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,6,1.20
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,6,1.07
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,6,1.28
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,6,-0.79
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,6,-12.16
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,6,-31.30
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,6,-55.91
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,6,-55.32
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,6,-17.64
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,6,4.63
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,6,5.41
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,6,4.29
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,6,3.54
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,7,1.06
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,7,0.91
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,7,0.77
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,7,0.63
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,7,0.54
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,7,1.27
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,7,-1.10
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,7,-8.34
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,7,-18.44
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,7,-23.58
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,7,-28.11
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,7,-40.04
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,7,-40.95
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,7,-5.86
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,7,3.94
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,7,3.27
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,7,2.74
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,7,2.34 gram
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,8,-0.36
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,8,-0.45
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,8,-0.47
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,8,-0.47
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,8,-0.74
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,8,-7.30
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,8,-20.85
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,8,-36.01
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,8,-45.76
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,8,-36.72
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,8,-12.25
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,8,-2.04
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,8,2.83
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,8,2.69
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,8,2.20
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,9,-1.41
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,9,-1.49
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,9,-1.52
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,9,-1.52
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,9,-1.60
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,9,-1.75
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,9,-2.07
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,9,-4.39
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,9,-15.80
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,9,-43.83
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,9,-66.69
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,9,-78.63
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,9,-62.44
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,9,-6.68
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,9,1.81
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,9,1.14
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,9,0.66 gra
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,10,-3.35
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,10,-3.33
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,10,-3.48
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,10,-8.87
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,10,-26.75
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,10,-45.93
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,10,-75.75
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,10,-100.27
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,10,-99.19
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,10,-83.29
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,10,-58.56
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,10,-61.42
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,10,-29.61
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,10,-1.88
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,10,-0.78
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,10,-0.97
DOB 11.1.18,11.7.19,M,34.2,C57BL/6,no,10,-1.12
